headline,is_sarcastic
The Onion’s Father’s Day Gift Guide For The Dad Who Has It All,1
 Quaker Oats Replaces Historically Racist Aunt Jemima Mascot With Black Female Lawyer Who Enjoys Pancakes Sometimes,1
 Kristen Stewart To Play Princess Diana In Upcoming Biopic,1
 Editorial Cartoon: ‘Passing Lane’,1
 Man Hates How Hot Dog-Eating Contests Reduce Art Of Eating Hot Dogs To A Competition,1
" ‘It’s Perfect Outside,’ Announces Sweating Woman Slowly Losing Consciousness In Middle Of Heatstroke",1
 How To Reform The Police,1
 Resigned Pew Research Study Has No Fucking Clue What’s Going On With 15% Of Americans,1
 Pros And Cons Of Removing Historical Statues,1
 Black Father Gives Son The Talk About Holding Literally Any Object<em></em>,1
" Huh, Boyfriend’s Ex Just Made Interesting Hair Choice",1
 Black Man At Walgreens Impressed By How Attentively Employees Tailing Him<em></em>,1
 Report: This A Goddamn Walk In The Park Compared To What’s Coming In 2027,1
 White House Toilet Doesn’t Know If It Can Handle Another 4 Years Of Trump,1
 Heavily Armed Fans Guard Statue Of Yogi Bear In Case It Turns Out He Supported Confederacy,1
 Kentucky Attorney General So Starstruck By Letter From Beyoncé He Unable To Even Read What It’s About,1
 Congress Announces Willingness To Offer Black Lives Matter Protesters Holiday Or Statue,1
" DNC To Streamline Fundraising By Cutting Out Unnecessary Cost Of Campaigns, Candidates",1
 Biden Campaign Fundraising Email Reminds Donors Sexual Assault Allegations Don’t Bury Themselves,1
 Georgia Secretary Of State Vows To Investigate Why Some Residents Forced To Wait 2 Centuries To Vote,1
 Republican Leaders Claim New Yorkers Will Greet U.S. Military As Liberators,1
 Mental Health Experts Advise On Best Ways To Combat Intrusive Thoughts Of Your Father Naked,1
 Jimmy Carter Checks Into Rehab For Debilitating House-Building Addiction,1
 Congress Moving Toward Safer Vote-By-Paper-Airplane Option,1
 City Enters Phase 4 Of Pretending Coronavirus Over,1
 Disgusted Patio Diner Pretty Sure She Just Saw Coronavirus Scurry Into Bushes,1
 Sweat-Soaked Mattress Praying This The Year Couple Invests In Air Conditioner,1
 Manipulative Stepmom Only Married Dad So She Could Take Care Of Him Into Old Age,1
 ‘And What Do We Want To Do About This Nest Full Of Baby Sparrows?’ Asks Barber Giving Man His First Haircut In 6 Months,1
 What To Read While Social Distancing,1
 10 Breathtaking Photos That Perfectly Capture The Unwavering Spirit Of Scissors,1
 How To Stay Connected To Others During Social Distancing,1
 11 Simple Cocktail Recipes To Try While Quarantining,1
 Sony Reveals PS5 Fully Customizable With Different Little Hats,1
 Report: There Already 5 Million Players Who Are Better Than You’ll Ever Be At ‘Valorant’,1
 The Biggest Titles Announced At The PS5 Game Lineup Event,1
 The 11 Best Games To Play For The Nintendo Switch,1
 5 Things To Know About Andrew Cuomo,1
 How Coronavirus Is Changing Religious Worship,1
 How The U.S. Media Landscape Got So Polarized,1
 How To Handle Disagreements About Social Distancing,1
 Tuba Player In John Williams Orchestra Loves Giving Little Toot When Something Dramatic Happens,1
" Your Horoscopes — Week Of June 9, 2020",1
" Your Horoscopes — Week Of June 2, 2020",1
 What To Read While Social Distancing,1
 Staples Center Employee Realizes He Left Shot Clock Buzzer On This Whole Time,1
 Entire Oklahoma State Team To Boycott Season After Mike Gundy Seen In NCAA Shirt,1
 Fantasy Baseball League Commissioner Knows Handling Of Pandemic Will Define His Legacy,1
 Adidas Unveils New Line Of Soccer Stuff,1
 Kristen Stewart To Play Princess Diana In Upcoming Biopic,1
" Aunt Jemima, Mrs. Butterworth, Uncle Ben’s Brands To Be Overhauled",1
 American Airlines Suspends Alcohol Service For Economy Class,1
 7-Eleven Cancels Free Slurpee Day,1
Staples Center Employee Realizes He Left Shot Clock Buzzer On This Whole Time,1
 Entire Oklahoma State Team To Boycott Season After Mike Gundy Seen In NCAA Shirt,1
 Fantasy Baseball League Commissioner Knows Handling Of Pandemic Will Define His Legacy,1
 Adidas Unveils New Line Of Soccer Stuff,1
 Red Sox Ask Fans To Switch From Racial To Homophobic Slurs When Taunting Opposing Players,1
 Kyrie Irving Suggests NBA Hold Games Inside Higher Plane Of Reality Beyond Limits Of Mortal Realm,1
 The Greatest NBA Teams Of All Time,1
 Roger Goodell Insists Martin Luther King Jr. Would Have Wanted 17-Game Football Season In Front Of Full Stadiums,1
 Adam Silver Shows Solidarity With Players By Inserting Self As Milwaukee Bucks Point Guard,1
 Governor Upset Barber Would Be So Reckless As To Get Near Ben Roethlisberger,1
 German Soccer League Simulates Presence Of Fans By Pumping Racial Slurs Into Stadiums,1
 NFL Reminds Black Coaches They’ll Get Their Chance Once League Runs Out Of Grudens And Shanahans,1
 Desperate Sports Fan Would Almost Be Willing To Watch Own Kids Play In Backyard At This Point,1
 11 Greatest Sports Moments Made Possible By PEDs,1
 ‘The Last Dance’ Director Defends Creative Choice To Flash Forward To 2046,1
" Stephen A. Smith: ‘I’ve Loved Ha-Seong Kim For Years, But He Will Simply Never Be The Player Jeong Choi Is’",1
 Golden Boy Boxing Applies For PPP Loan To Continue Paying Off Judges,1
 Belarusian Soccer Execs Pop Champagne On New Mega Yacht To Celebrate Wave Of Increased Popularity That Will Surely Last Forever,1
 NCAA Wonders Why Financially Struggling Student Athletes Didn’t Just Exploit Labor Of Others,1
 Charles Barkley: ‘Michael Jordan Would Have Been Nothing Special Had He Played In My Day’,1
